timestamp,cmd_torque,target_position,position,velocity,estimated_torque,valid
0.000046,0.017050,0.000000,0.171044,0.012085,-0.002594,1
0.001007,0.372925,0.000000,0.171428,0.026856,-0.001556,1
0.002004,0.734238,0.000000,0.171428,0.016114,-0.003113,1
0.003004,1.080209,0.000000,0.171044,-0.269906,0.096500,1
0.004014,1.406053,0.000000,0.171428,0.041627,0.251106,1
0.005007,1.696970,0.000000,0.171428,0.136967,0.370952,1
0.006006,1.954629,0.000000,0.171428,-0.059084,0.594043,1
0.007024,2.176991,0.000000,0.171811,0.349132,0.571215,1
0.008009,2.351244,0.000000,0.172578,0.362560,0.705069,1
0.009009,2.485872,0.000000,0.172962,0.537126,0.718558,1
0.010008,2.578263,0.000000,0.173729,0.670064,0.726341,1
0.011012,2.630633,0.000000,0.174879,0.993683,0.848262,1
0.012008,2.645735,0.000000,0.175646,0.858058,0.785485,1
0.013009,2.628356,0.000000,0.176797,1.200476,0.787042,1
0.014589,2.547797,0.000000,0.178331,1.303873,0.868496,1
0.015011,2.517922,0.000000,0.181015,1.346843,0.767327,1
0.016003,2.438275,0.000000,0.181782,1.565722,0.764733,1
0.017003,2.350020,0.000000,0.183316,1.752373,0.777184,1
0.018003,2.260268,0.000000,0.185234,2.045106,0.673940,1
0.019003,2.174958,0.000000,0.187535,1.953795,0.705069,1
0.020003,2.099501,0.000000,0.189836,2.192816,0.665120,1
0.021003,2.038267,0.000000,0.192137,2.286813,0.665120,1
0.022003,1.994476,0.000000,0.194438,2.472121,0.621021,1
0.023003,1.970195,0.000000,0.197123,2.584918,0.649556,1
0.024004,1.966150,0.000000,0.199807,2.639973,0.631916,1
0.025003,1.981739,0.000000,0.202492,2.746055,0.594043,1
0.026004,2.015159,0.000000,0.205560,2.803797,0.550981,1
0.027020,2.064238,0.000000,0.208244,2.947478,0.544237,1
0.028008,2.122548,0.000000,0.211696,3.029389,0.551500,1
0.029010,2.187663,0.000000,0.214380,3.136814,0.556169,1
0.030006,2.253120,0.000000,0.217832,3.275124,0.533860,1
0.031023,2.314899,0.000000,0.221667,3.503403,0.570696,1
0.032023,2.365101,0.000000,0.225502,3.588000,0.550981,1
0.033015,2.399453,0.000000,0.228954,3.531602,0.595599,1
0.034013,2.413821,0.000000,0.232789,3.735710,0.654744,1
0.035144,2.400956,0.000000,0.237007,3.961303,0.835292,1
0.036011,2.367756,0.000000,0.241226,4.096927,0.750725,1
0.037006,2.303297,0.000000,0.245061,4.185553,0.638661,1
0.038004,2.210158,0.000000,0.248896,4.333262,0.693655,1
0.039013,2.088222,0.000000,0.253498,4.358776,0.687948,1
0.040004,1.943467,0.000000,0.258100,4.443373,0.686392,1
0.041003,1.776440,0.000000,0.262702,4.761620,0.577960,1
0.042003,1.592920,0.000000,0.267688,4.744163,0.594043,1
0.043003,1.398879,0.000000,0.272290,4.823389,0.540605,1
0.044004,1.200926,0.000000,0.277659,5.032868,0.504288,1
0.045004,1.006452,0.000000,0.282645,5.032868,0.434767,1
0.046003,0.822628,0.000000,0.287630,5.192663,0.459151,1
0.047020,0.654044,0.000000,0.292999,5.132237,0.420759,1
0.048010,0.514407,0.000000,0.298368,5.317545,0.443587,1
0.049013,0.403830,0.000000,0.303737,5.387371,0.390149,1
0.050007,0.329911,0.000000,0.309107,5.278603,0.382366,1
0.051024,0.295304,0.000000,0.314476,5.391400,0.327372,1
